class_name,recording,n_unique_sources,exact_accuracy,ship_only_top1_accuracy,predicted_tanker_fraction,predicted_cargo_fraction,rejected_fraction
Cargo,cargo/20171117b-25/055206.wav,75,0.8533333333333334,0.8666666666666667,0.08,0.8533333333333334,0.04
Cargo,cargo/20171117d-26/225044.wav,44,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171118-27/27.wav,39,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171118a-28/074918.wav,97,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171119b-29/151043.wav,67,0.9552238805970149,0.9701492537313433,0.0,0.9552238805970149,0.014925373134328358
Cargo,cargo/20171121-31/031902.wav,204,0.7941176470588235,0.803921568627451,0.09803921568627451,0.7941176470588235,0.0392156862745098
Cargo,cargo/20171121e-33/202039.wav,69,0.8840579710144928,0.8840579710144928,0.11594202898550725,0.8840579710144928,0.0
Cargo,cargo/20171121f-34/210343.wav,78,0.9102564102564102,0.9102564102564102,0.08974358974358974,0.9102564102564102,0.0
Cargo,cargo/20171122a-35/060651.wav,60,0.9833333333333333,0.9833333333333333,0.0,0.9833333333333333,0.0
Cargo,cargo/20171122d-38/38.wav,39,0.8717948717948718,0.8974358974358975,0.05128205128205128,0.8717948717948718,0.05128205128205128
Cargo,cargo/20171123c-40/135730.wav,107,0.9626168224299065,0.9626168224299065,0.0,0.9626168224299065,0.0
Cargo,cargo/20171124a-41/41.wav,36,0.9722222222222222,0.9722222222222222,0.0,0.9722222222222222,0.0
Cargo,cargo/20171124c-42/134001.wav,81,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171124d-43/161634.wav,70,0.8857142857142857,0.9285714285714286,0.02857142857142857,0.8857142857142857,0.04285714285714286
Cargo,cargo/20171125b-45/45.wav,72,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0
Cargo,cargo/20171125c-46/134833.wav,117,0.9230769230769231,0.9401709401709402,0.042735042735042736,0.9230769230769231,0.017094017094017096
Cargo,cargo/20171125e-48/234924.wav,100,0.8,0.8,0.17,0.8,0.02
Cargo,cargo/20171126a-50/035027.wav,45,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.0
Cargo,cargo/20171126b-51/044753.wav,95,0.8526315789473684,0.8736842105263158,0.10526315789473684,0.8526315789473684,0.021052631578947368
Cargo,cargo/20171128a-54/080742.wav,79,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171130-57/165031.wav,70,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0
Cargo,cargo/20171201-59/080357.wav,61,0.9836065573770492,0.9836065573770492,0.0,0.9836065573770492,0.01639344262295082
Cargo,cargo/20171201a-60/111402.wav,58,0.9655172413793104,0.9655172413793104,0.0,0.9655172413793104,0.0
Cargo,cargo/20171202b-62/62.wav,39,0.8974358974358975,0.8974358974358975,0.10256410256410256,0.8974358974358975,0.0
Cargo,cargo/20171202c-63/123015.wav,72,0.9027777777777778,0.9027777777777778,0.09722222222222222,0.9027777777777778,0.0
Cargo,cargo/20171202e-64/141802.wav,111,0.990990990990991,0.990990990990991,0.0,0.990990990990991,0.0
Cargo,cargo/20171203-65/191824.wav,74,0.9864864864864865,0.9864864864864865,0.013513513513513514,0.9864864864864865,0.0
Cargo,cargo/20171204a-67/051220.wav,41,0.8292682926829268,0.8780487804878049,0.0975609756097561,0.8292682926829268,0.024390243902439025
Cargo,cargo/20171204b-68/201125.wav,71,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171205-69/69.wav,36,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171205a-70/030344.wav,74,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171205e-71/111659.wav,55,0.9818181818181818,0.9818181818181818,0.01818181818181818,0.9818181818181818,0.0
Cargo,cargo/20171205g-73/124454.wav,87,0.735632183908046,0.7471264367816092,0.2413793103448276,0.735632183908046,0.022988505747126436
Cargo,cargo/20171205i-75/202122.wav,44,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171206-76/004911.wav,99,0.9393939393939394,0.9393939393939394,0.04040404040404041,0.9393939393939394,0.0
Cargo,cargo/20171206a-77/014907.wav,73,0.4931506849315068,0.5068493150684932,0.4657534246575342,0.4931506849315068,0.0273972602739726
Cargo,cargo/20171207a-80/013045.wav,92,0.7391304347826086,0.75,0.2391304347826087,0.7391304347826086,0.010869565217391304
Cargo,cargo/20171207b-81/032120.wav,110,0.9545454545454546,0.9545454545454546,0.0,0.9545454545454546,0.0
Cargo,cargo/20171207d-82/100039.wav,45,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171207f-83/190947.wav,50,0.8,0.82,0.18,0.8,0.02
