class_name,recording,n_unique_sources,exact_accuracy,ship_only_top1_accuracy,predicted_tanker_fraction,predicted_cargo_fraction,rejected_fraction
Cargo,cargo/20171205e-71/111659.wav,55,0.9818181818181818,0.9818181818181818,0.01818181818181818,0.9818181818181818,0.0
Cargo,cargo/20171205g-73/124454.wav,87,0.8620689655172413,0.8620689655172413,0.13793103448275862,0.8620689655172413,0.0
Cargo,cargo/20171205i-75/202122.wav,44,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171206-76/004911.wav,99,0.9292929292929293,0.9393939393939394,0.050505050505050504,0.9292929292929293,0.010101010101010102
Cargo,cargo/20171206a-77/014907.wav,73,0.8082191780821918,0.821917808219178,0.1506849315068493,0.8082191780821918,0.0136986301369863
Cargo,cargo/20171207a-80/013045.wav,92,0.9021739130434783,0.9021739130434783,0.08695652173913043,0.9021739130434783,0.010869565217391304
Cargo,cargo/20171207b-81/032120.wav,110,0.9545454545454546,0.9545454545454546,0.0,0.9545454545454546,0.0
Cargo,cargo/20171207d-82/100039.wav,45,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171207f-83/190947.wav,50,0.94,0.96,0.04,0.94,0.02
Cargo,cargo/20171209-85/001029.wav,108,0.7777777777777778,0.7962962962962963,0.19444444444444445,0.7777777777777778,0.018518518518518517
Cargo,cargo/20171209b-86/054935.wav,41,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171209c-87/140111.wav,82,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171210c-90/124043.wav,74,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171212a-91/003918.wav,51,0.9411764705882353,0.9607843137254902,0.0196078431372549,0.9411764705882353,0.0392156862745098
Cargo,cargo/20171212c-93/101404.wav,41,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171213b-96/96.wav,39,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171213d-97/154210.wav,55,0.9454545454545454,0.9454545454545454,0.05454545454545454,0.9454545454545454,0.0
Cargo,cargo/20171213e-98/231302.wav,113,0.8761061946902655,0.8938053097345132,0.07079646017699115,0.8761061946902655,0.02654867256637168
Cargo,cargo/20171213f-99/99.wav,37,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171213g-100/234857.wav,70,0.9142857142857143,0.9285714285714286,0.07142857142857142,0.9142857142857143,0.014285714285714285
Cargo,cargo/20171214a-101/075400.wav,63,1.0,1.0,0.0,1.0,0.0
Cargo,cargo/20171214b-102/091542.wav,88,0.8522727272727273,0.8522727272727273,0.14772727272727273,0.8522727272727273,0.0
Cargo,cargo/20171214d-103/103.wav,39,1.0,1.0,0.0,1.0,0.0
